game_name,cluster_id,cluster_label
Tropico 5 - Mad World,3,Competitive/E-Sports
Tropico 5 - Generalissimo,3,Competitive/E-Sports
TransOcean: The Shipping Company,3,Competitive/E-Sports
Transformers: Rise Of The Dark Spark,3,Competitive/E-Sports
Triad Wars,3,Competitive/E-Sports
Toybox Turbos,1,Easy
Tour de France 2014,3,Competitive/E-Sports
XCOM: Enemy Unknown Slingshot,3,Competitive/E-Sports
World Zero Online,1,Easy
Tower Of Guns,3,Competitive/E-Sports
XCOM: Enemy Unknown,3,Competitive/E-Sports
Transistor,3,Competitive/E-Sports
Top Hat,1,Easy
Total Pursuit Pro,1,Easy
Yesterday,1,Easy
TOME: Immortal Arena,1,Easy
Trials Fusion,3,Competitive/E-Sports
Train Fever,3,Competitive/E-Sports
World of Warcraft: Mists of Pandaria,1,Easy
WWE Wrestlefest,1,Easy
Total War: Rome II - Hannibal at the Gates,3,Competitive/E-Sports
Total War: Rome II - Beasts of War,3,Competitive/E-Sports
TowerFall: Ascension,3,Competitive/E-Sports
Wooden SenSeY,3,Competitive/E-Sports
XMoto,1,Easy
Tom clancys Ghost Recon Phantoms,3,Competitive/E-Sports
Worms Revolution,3,Competitive/E-Sports
WRC 3: FIA World Rally Championship,3,Competitive/E-Sports
Tiny Trek,1,Easy
This War Of Mine,3,Competitive/E-Sports
Thief Town,1,Easy
Train Simulator 2015,3,Competitive/E-Sports
Wartime,1,Easy
Theme Park Studio,3,Competitive/E-Sports
Who Wants To Be A Millionaire,1,Easy
Three Dead Zed,3,Competitive/E-Sports
Titanfall - Expedition,3,Competitive/E-Sports
The World 2,1,Easy
Way of the Samurai 4,3,Competitive/E-Sports
Titanfall: Frontiers Edge,3,Competitive/E-Sports
Titanfall,3,Competitive/E-Sports
The Wolf Among Us - Episode 5: Cry Wolf,1,Easy
Wing Commander Saga: The Darkest Dawn,1,Easy
Where Angels Cry,1,Easy
The Wolf Among Us - Episode 4: In Sheeps Clothing,1,Easy
The Wolf Among Us - Episode 3: A Crooked Mile,1,Easy
Tomb Raider Definitive Edition,0,AAA High Graphics
The Wolf Among Us - Episode 2: Smoke & Mirrors,1,Easy
The Walking Dead: Season 2 - Episode 5: No Going Back,1,Easy
TheHunter: Primal,3,Competitive/E-Sports
Warp,1,Easy
The Walking Dead: Season 2 - Episode 4: Amid The Ruins,1,Easy
The Walking Dead: Season 2 - Episode 3: In Harms Way,1,Easy
The Walking Dead: Season 2 - Episode 2: A House Divided,1,Easy
The Vanishing of Ethan Carter,3,Competitive/E-Sports
The Terminal 2,3,Competitive/E-Sports
Warlock: Master of the Arcane: Powerful Lords,3,Competitive/E-Sports
Thief 2014,2,AAA Medium Graphics
The Tale of ALLTYNEX,1,Easy
Wargame: European Escalation,3,Competitive/E-Sports
The Survivals Fall,1,Easy
The Shopkeeper,1,Easy
The Repopulation,1,Easy
War of the Human Tanks,1,Easy
Warhammer 40000: Space Marine: Iron Hands Chapter,3,Competitive/E-Sports
Warhammer 40000: Space Marine: Death Guard Champion Chapter,3,Competitive/E-Sports
The Stomping Land,3,Competitive/E-Sports
War Of The Roses - Winter has Arrived,3,Competitive/E-Sports
Warface,3,Competitive/E-Sports
Warlock: Master of the Arcane,3,Competitive/E-Sports
Warhammer 40000: Space Marine: Dreadnought,3,Competitive/E-Sports
War Of The Roses,3,Competitive/E-Sports
The Sims 4: Holiday Celebration Pack,3,Competitive/E-Sports
The Sims 4,3,Competitive/E-Sports
The Talos Principle,3,Competitive/E-Sports
The Memory of Eldurim,1,Easy
The Old City: Leviathan,1,Easy
The Masterplan,3,Competitive/E-Sports
The Makers Eden,1,Easy
The Moon Silver,1,Easy
Vox,1,Easy
The Legend of Korra,3,Competitive/E-Sports
Wakfu,1,Easy
The Mighty Quest For Epic Loot,1,Easy
Vitrum,1,Easy
The Marvellous Miss Take,3,Competitive/E-Sports
Vector Thrust,3,Competitive/E-Sports
The Last Tinker: City Of Colors,3,Competitive/E-Sports
Vessel,1,Easy
Warriors Orochi 4,2,AAA Medium Graphics
The Lady,1,Easy
The Last Dogma,1,Easy
The King of Fighters 98' Ultimate Match Final Edition,1,Easy
Victorian Admirals Anthology,1,Easy
The Lego Movie Videogame,1,Easy
The Incredible Adventures Of Van Helsing II,3,Competitive/E-Sports
The Jackbox Party Pack,1,Easy
The Hive,1,Easy
Vampires!,1,Easy
UnderRail,1,Easy
The Last Door,1,Easy
Victoria II: A House Divided,1,Easy
The Legend of Heroes: Trails in the Sky,1,Easy
The Grandfather,1,Easy
The Hat Man: Shadow Ward,1,Easy
The Ganzfeild Effect Part 1,1,Easy
The Golf Club,3,Competitive/E-Sports
Unstoppable Gorg,1,Easy
Tryst,3,Competitive/E-Sports
The Few,1,Easy
Tropico 4: Quick-Dry Cement,3,Competitive/E-Sports
Uprising44,1,Easy
The Legend of Heroes: Trails of Cold Steel II,3,Competitive/E-Sports
Tropico 4: Vigilante,3,Competitive/E-Sports
The Expendabros,3,Competitive/E-Sports
Tropico 4: Propaganda!,3,Competitive/E-Sports
Tropico 4: Megalopolis,3,Competitive/E-Sports
Tropico 4: Modern Times,3,Competitive/E-Sports
The Fifth Day,1,Easy
The Detail Episode 1: Where The Dead Lie,1,Easy
Trine 2: Goblin Menace,1,Easy
Tribes: Ascend,3,Competitive/E-Sports
The Cursed Forest,1,Easy
The Evil Within,2,AAA Medium Graphics
Unmechanical,1,Easy
Train Simulator 2012: Woodhead Line Expansion Pack,1,Easy
The Binding of Isaac: Rebirth,1,Easy
Transformers: The Fall of Cybertron,3,Competitive/E-Sports
That Bastard Is Trying To Steal Our Gold,1,Easy
Triple Town,1,Easy
The Banner Saga,1,Easy
Train Simulator 2012: PRR K4 Add-On,1,Easy
TesserAct,1,Easy
The Elder Scrolls Online,2,AAA Medium Graphics
The Blue Flamingo,3,Competitive/E-Sports
Train Simulator 2012: Class 77 and 76 Add-On,1,Easy
Train Simulator 2012: Intercity-Express Add-On,1,Easy
Train Simulator 2012: Class 390 Add-On,1,Easy
Train Simulator 2013,3,Competitive/E-Sports
The Blackwell Epiphany,1,Easy
Train of Afterlife,1,Easy
The Amazing Spider-Man 2,3,Competitive/E-Sports
The Crew,2,AAA Medium Graphics
Tesla Breaks the World!,1,Easy
Tesla Effect: A Tex Murphy Adventure,3,Competitive/E-Sports
Tales From The Borderlands: Episode 1 - Zer0 Sum,1,Easy
System Crash,1,Easy
Talisman Digital Edition,1,Easy
Train Giant A-Train 9,3,Competitive/E-Sports
Tales of Aravorn: Seasons of The Wolf,1,Easy
Toren,1,Easy
Super Pixalo,1,Easy
Supreme Ruler Ultimate,1,Easy
Supreme Ruler 1936,1,Easy
Survivalist,1,Easy
Super Chibi Knight,1,Easy
The Distance,3,Competitive/E-Sports
Super Audio Spectrum,1,Easy
Tony Hawks Pro Skater HD,1,Easy
Swordsman,1,Easy
Torchlight 2,1,Easy
Tiny Troopers,1,Easy
Tom Clancy: Ghost Recon Future Soldier: Arctic Strike,3,Competitive/E-Sports
Tiny and Big: Grandpas Leftovers,1,Easy
Top Gun: Hard Lock,3,Competitive/E-Sports
Tom Clancy: Ghost Recon Future Soldier,3,Competitive/E-Sports
Tom Clancy: Ghost Recon Online,3,Competitive/E-Sports
TrackMania 2: Canyon,1,Easy
Strike Vector,3,Competitive/E-Sports
Strider 2014,3,Competitive/E-Sports
They Bleed Pixels,3,Competitive/E-Sports
THE WEST,3,Competitive/E-Sports
Sunless Sea: Zubmariner,1,Easy
Sunless Sea,1,Easy
Strata,1,Easy
Stranded,1,Easy
The Wreckless,1,Easy
The War Z,3,Competitive/E-Sports
Styx: Master of Shadows,3,Competitive/E-Sports
Staudsofts Synthetic World,1,Easy
State of Decay: Lifeline,3,Competitive/E-Sports
Steel and Steam,1,Easy
The Walking Dead: Episode 5 No Time Left,1,Easy
Stowaway,1,Easy
The Walking Dead: Episode 4 Around Every Corner,1,Easy
Starion Tactics,1,Easy
The Walking Dead: Episode 3 The Long Road Ahead,1,Easy
The Walking Dead: Episode 1,1,Easy
Stronghold Crusader 2,3,Competitive/E-Sports
The Walking Dead: Episode 2 Starved For Help,1,Easy
The Tales of MajEyal,1,Easy
The Testament of Sherlock Holmes,1,Easy
The Settlers Online,1,Easy
Sproggiwood,1,Easy
Starforge,3,Competitive/E-Sports
Star Troll,1,Easy
Spectre,1,Easy
Sunrider: First Arrival,3,Competitive/E-Sports
Splatter Red Blood Edition,1,Easy
SPINRUSH,1,Easy
Spark Rising,1,Easy
Star Wars: The Old Republic - Shadow of Revan,3,Competitive/E-Sports
Spintires,1,Easy
The Race for the White House,1,Easy
The Secret World,2,AAA Medium Graphics
Spate,3,Competitive/E-Sports
Space Run,3,Competitive/E-Sports
Space Hulk - Harbinger of Torment,1,Easy
Starlite: Astronaut Rescue,1,Easy
Source,1,Easy
The Good Life,1,Easy
Sorcerer King,1,Easy
Son of Nor,3,Competitive/E-Sports
South Park: Stick of Truth - Super Samurai Spaceman,3,Competitive/E-Sports
The Lord of the Rings Online: Riders of Rohan,1,Easy
South Park: The Stick of Truth - Ultimate Fellowship,3,Competitive/E-Sports
The Journey Down,1,Easy
The Secret Files 3,1,Easy
Snow Light,1,Easy
The Golden Years: Way Out West,1,Easy
South Park: The Stick of Truth,3,Competitive/E-Sports
The Dead Linger,1,Easy
The Expendables 2 Videogame,1,Easy
Zero Punctuation: Hatfall - Hatters Gonna Hat Edition,1,Easy
The Darkness 2,3,Competitive/E-Sports
Yelaxot,1,Easy
Sniper Elite 3 - Save Churchill Part 3: Confrontation,3,Competitive/E-Sports
The Cat Lady,1,Easy
The Banner Saga: Factions,1,Easy
Sniper Elite 3 - Save Churchill Part 2: Belly of the Beast,3,Competitive/E-Sports
Sniper Elite 3 - Target Hitler: Hunt the Grey Wolf,3,Competitive/E-Sports
Sniper Elite 3 - Save Churchill Part 1: In Shadows,3,Competitive/E-Sports
Zombie Army Trilogy,3,Competitive/E-Sports
You Must Build A Boat,1,Easy
Terrorhedron 3D Coop Tower Defense,1,Easy
Teslagrad,1,Easy
Sniper Elite 3,3,Competitive/E-Sports
The Amazing Spider-Man,3,Competitive/E-Sports
Sky Mercenaries,1,Easy
Space Hulk Ascension,3,Competitive/E-Sports
Sirius,1,Easy
Sleeping Dogs : Definitive Edition,3,Competitive/E-Sports
Zombi,3,Competitive/E-Sports
Sky Nations,1,Easy
Skara: The Blade Remains,1,Easy
X-Note,1,Easy
Test Drive: Ferrari Racing Legends,3,Competitive/E-Sports
Space Hulk Ascension: Imperial Fists,3,Competitive/E-Sports
The Critter Chronicles,1,Easy
The Dark Eye: Chains of Satinav,1,Easy
Talisman Prologue,1,Easy
Sim Hero,1,Easy
SilentForest,1,Easy
Sign Motion,1,Easy
Siege of Turtle Enclave,1,Easy
WRC 5: FIA World Rally Championship,0,AAA High Graphics
Worlds Of Magic,2,AAA Medium Graphics
Siege of Inaolia,1,Easy
Teleglitch,1,Easy
Shiny The Firefly,1,Easy
Team Fortress 2: Holiday Pack,1,Easy
Sir You Are Being Hunted,3,Competitive/E-Sports
World Of Speed,2,AAA Medium Graphics
WolfWars,1,Easy
WWE 2K15,2,AAA Medium Graphics
Without Within,1,Easy
Tera-Online,2,AAA Medium Graphics
Sins of a Dark Age,3,Competitive/E-Sports
World of Warships,3,Competitive/E-Sports
Shovel Knight: Specter Of Torment,3,Competitive/E-Sports
Shovel Knight,3,Competitive/E-Sports
Team Assault: Baptism of Fire,1,Easy
Wolfenstein: The Old Blood,2,AAA Medium Graphics
Shaun the Sheep 2 : Home Sheep Home,1,Easy
Sharpe Investigations: Death on the Seine,1,Easy
Shan Gui,1,Easy
Tales from Space: Mutant Blobs Attack!!!,1,Easy
Wick,3,Competitive/E-Sports
Water hunter,1,Easy
Syder Arcade,1,Easy
Wasteland 2 Directors Cut,3,Competitive/E-Sports
Sherlock Holmes - Crimes and Punishments,3,Competitive/E-Sports
Warlocks Vs Shadows,1,Easy
Warlocks Citadel,1,Easy
Superbrothers: Sword And Sworcery EP,1,Easy
Super Amazing Wagon Adventure,1,Easy
Wave of Darkness,3,Competitive/E-Sports
Shadowgate,3,Competitive/E-Sports
Wars of Napoleon,1,Easy
Warhammer: The End Times - Vermintide,0,AAA High Graphics
Shadowrun Dragonfall,1,Easy
Seek,1,Easy
Serena,1,Easy
Super Monday Night Combat,1,Easy
Warhammer: End Times - Vermintide Sigmar's Blessing,0,AAA High Graphics
Wargame: Red Dragon - Norse Dragon,1,Easy
Wadwipe: Play 4 Free,1,Easy
Wander,1,Easy
VRC PRO,3,Competitive/E-Sports
Shadows: Heretic Kingdoms,3,Competitive/E-Sports
Volume,1,Easy
Street Fighter x Megaman,1,Easy
Strategic War in Europe,1,Easy
Warhammer 40000: Regicide,3,Competitive/E-Sports
Storm The Game,1,Easy
Secrets of Raetikon,1,Easy
Secret Ponchos,3,Competitive/E-Sports
Scribble Dash,1,Easy
School of Dragons:How to train your dragon,1,Easy
Schein,1,Easy
Warhammer 40000: Deathwatch: Tyranid Invasion,3,Competitive/E-Sports
Street Fighter x Tekken,3,Competitive/E-Sports
Screencheat,1,Easy
Scare,1,Easy
Scania Truck Driving Simulator,3,Competitive/E-Sports
Saviors,1,Easy
Void Destroyer,1,Easy
Victor Vran,3,Competitive/E-Sports
Verlies II,1,Easy
Vast,1,Easy
Valhalla Hills,3,Competitive/E-Sports
Warhammer Quest,3,Competitive/E-Sports
Star Wars: The Old Republic - Ancient Hypergate,3,Competitive/E-Sports
Saturday Morning RPG,1,Easy
S.T.A.L.K.E.R : Lost,1,Easy
Urja,1,Easy
Starvoid,1,Easy
Urban Legends,1,Easy
Universe Sandbox 2,3,Competitive/E-Sports
Spec Ops: The Line,3,Competitive/E-Sports
Rymdkapsel,1,Easy
Verdun,1,Easy
Spellforce 2: Faith in Destiny,1,Easy
Running with Rifles,1,Easy
Rush for Glory,1,Easy
RWR:Z,1,Easy
Unlimited Escape,1,Easy
Splice,1,Easy
Runers,1,Easy
Run or Die,1,Easy
Spirit Tales,1,Easy
Unreal Tournament,3,Competitive/E-Sports
Undeads,1,Easy
Rover Rescue,1,Easy
Unhack: Destruction,1,Easy
Underworld Ascension,1,Easy
Rugby 15,2,AAA Medium Graphics
Twistys Asylum Escapades,1,Easy
Turbo Pug,1,Easy
Tulpa,1,Easy
Royal Quest,3,Competitive/E-Sports
Sacred 3,3,Competitive/E-Sports
UFO2 Extraterrestrials: Battle for Mercury,1,Easy
Sonic the Hedgehog 4: Episode II,1,Easy
Sonic the Hedgehog 4: Episode I,1,Easy
TY the Tasmanian Tiger 4,1,Easy
Roundabout,3,Competitive/E-Sports
Roommates,1,Easy
RoboWars,1,Easy
Roleplay 2,1,Easy
Road Not Taken,3,Competitive/E-Sports
Rising World,1,Easy
Robot Roller - Derby Disco Dodgeball,1,Easy
RollerCoaster Tycoon 4,3,Competitive/E-Sports
Risen 3: Titan Lords,3,Competitive/E-Sports
Tropico 5 - The Supercomputer,3,Competitive/E-Sports
Tropico 5 - T-Day,3,Competitive/E-Sports
Tropico 5 - Inquisition,3,Competitive/E-Sports
UmiharaKawase,3,Competitive/E-Sports
Tropico 5 - Surfs Up!,3,Competitive/E-Sports
Tropico 5 - Supervillain,3,Competitive/E-Sports
Tropico 5 - Gone Green,3,Competitive/E-Sports
Tropico 5 - Espionage,3,Competitive/E-Sports
Tropico 5,3,Competitive/E-Sports
TRISTOY,1,Easy
SOL Exodus,3,Competitive/E-Sports
Sonic Adventure 2,1,Easy
Sniper Elite V2,1,Easy
Sniper Elite V2: Kill Hitler,1,Easy
Undertale,1,Easy
Rime Berta,1,Easy
Return of Red Riding Hood,1,Easy
Rifts Cave,1,Easy
Retro Game Crunch,1,Easy
Resident Evil 4: Ultimate HD Edition,3,Competitive/E-Sports
Smite,3,Competitive/E-Sports
Transformers: Devastation,3,Competitive/E-Sports
Trove,1,Easy
Trash TV,1,Easy
Train Valley,3,Competitive/E-Sports
Trail to the West,1,Easy
Sleeping Dogs: Zodiac Tournament,3,Competitive/E-Sports
RIP,3,Competitive/E-Sports
Sleeping Dogs: Street Racer,3,Competitive/E-Sports
Sleeping Dogs: Nightmare in North Point,3,Competitive/E-Sports
Sleeping Dogs: Dragon Master,3,Competitive/E-Sports
Rise of Nations: Extended Edition,1,Easy
Rencounter,1,Easy
Sleeping Dogs,3,Competitive/E-Sports
Remind,1,Easy
Trine 3: The Artifacts of Power,3,Competitive/E-Sports
Regeria Hope Episode 1,1,Easy
Trainz: A New Era,2,AAA Medium Graphics
Toto Temple Deluxe,1,Easy
TOTM,1,Easy
Refunktion,1,Easy
TOXIKK,1,Easy
Total War: Attila - The Last Roman,3,Competitive/E-Sports
Total War: Attila - Viking Forefathers,3,Competitive/E-Sports
Total War: Attila - Empires of Sand,3,Competitive/E-Sports
Sims 3: Sunlit Tides,1,Easy
Skylanders: Giants,1,Easy
Rekoil,1,Easy
Reflex,1,Easy
Redsun,1,Easy
Total War: Attila - Blood and Burning,3,Competitive/E-Sports
Total War: Attila - Age of Charlemagne,3,Competitive/E-Sports
Renegade X - Beyond Black Dawn,1,Easy
Total War: Attila,3,Competitive/E-Sports
Total War Arena,1,Easy
Total War Battles: Kingdom,1,Easy
Sine Mora,3,Competitive/E-Sports
Sims 3: Supernatural,1,Easy
Tormentum: Dark Sorrow,1,Easy
Sims 3: Showtime,1,Easy
Sims 3: Master Suite Stuff,1,Easy
Sins of a Solar Empire: Rebellion,3,Competitive/E-Sports
Sims 3: Seasons,1,Easy
Tomb of Tyrants,1,Easy
Sims 3: Lucky Palms,1,Easy
Sims 3: Lunar Lakes,1,Easy
Slender,1,Easy
Sims 3: Katy Perry Sweet Treats,1,Easy
Sims 3: Diesel Stuff Pack,1,Easy
Real Horror Stories,1,Easy
Reaper: Tale Of A Pale Swordsman,3,Competitive/E-Sports
RambleRumble,1,Easy
Tom vs The Armies of Hell,1,Easy
TMC Particle Lab,1,Easy
To Be or Not To Be,1,Easy
TKL Online,1,Easy
SimCity Social,1,Easy
TIMEframe,3,Competitive/E-Sports
Randals Monday,1,Easy
Time Rifters,1,Easy
Rambo,3,Competitive/E-Sports
Radiant Defense,3,Competitive/E-Sports
Radial-G: Racing Revolved,1,Easy
Shoot Many Robots,1,Easy
Radium,3,Competitive/E-Sports
Til its Over,1,Easy
QuestRun,1,Easy
Race To Mars,1,Easy
Timber and Stone,3,Competitive/E-Sports
Silkroad-R Online,1,Easy
Thug III,1,Easy
Shogun 2: Total War - Fall of the Samurai: Tsu Faction Pack,3,Competitive/E-Sports
This War of Mine - War Child Charity,3,Competitive/E-Sports
Shogun 2: Total War - Fall of the Samurai: Sendai Faction Pack,3,Competitive/E-Sports
Thea:The Awakening,1,Easy
Ship Simulator Extremes: Oceana Cruise Ship,1,Easy
Titan Souls,2,AAA Medium Graphics
There Came An Echo,3,Competitive/E-Sports
Shogun 2: Total War - Fall of the Samurai: Saga Faction Pack,3,Competitive/E-Sports
Shogun 2: Total War - Fall of the Samurai: Obama Faction Pack,3,Competitive/E-Sports
Shogun 2: Total War - Fall of the Samurai,3,Competitive/E-Sports
Serious Sam 3: Jewel of the Nile,3,Competitive/E-Sports
Toukiden : Kiwami,2,AAA Medium Graphics
Shado,3,Competitive/E-Sports
Sherlock Holmes: The New Adventures,3,Competitive/E-Sports
Px0915 : Mutation,1,Easy
Pure Pool,3,Competitive/E-Sports
Shank 2,1,Easy
Psych,1,Easy
The Witcher III: Wild Hunt - Hearts of Stone,0,AAA High Graphics
The Witcher III,0,AAA High Graphics
The Talos Principle: Road to Gehenna,3,Competitive/E-Sports
The Trench,1,Easy
The Starving Tournament,1,Easy
The Spirit Age,1,Easy
The Witcher Adventure Game,3,Competitive/E-Sports
The Universe Project,1,Easy
Shadow Company: The Mercenary War,1,Easy
The Sims 4: Spooky Stuff,3,Competitive/E-Sports
Scribblenauts Unlimited,3,Competitive/E-Sports
Scarygirl,1,Easy
Psichodelya,1,Easy
Project Spark,3,Competitive/E-Sports
Project Nimbus,3,Competitive/E-Sports
Procyon,1,Easy
Pro Cycling Manager 2014,3,Competitive/E-Sports
SBK Generations,3,Competitive/E-Sports
Qbeh-1: The Atlas Cube,1,Easy
The Sims 4: Spa Day,3,Competitive/E-Sports
The Sims 4: Outdoor Retreat,3,Competitive/E-Sports
The Sims 4: Get to Work,3,Competitive/E-Sports
The Sims 4: Cool Kitchen Stuff,3,Competitive/E-Sports
The Sims 4: Perfect Patio Stuff,3,Competitive/E-Sports
The Seed,1,Easy
Probably Archery,3,Competitive/E-Sports
The Sims 4: Get Together,3,Competitive/E-Sports
The Sims 4: Luxury Party Stuff,3,Competitive/E-Sports
The Shattered Alliance,1,Easy
Primal Carnage: Extinction,3,Competitive/E-Sports
Pretentious,1,Easy
Prelogate,1,Easy
Project Temporality,1,Easy
POWER-UP,1,Easy
Post Master,3,Competitive/E-Sports
Possession Penn,1,Easy
Pro Evolution Soccer 2015,3,Competitive/E-Sports
Saints Row 3: Witches and Wieners,3,Competitive/E-Sports
Poltergeist: A Pixelated Horror,1,Easy
The Room: Archive,3,Competitive/E-Sports
The Robot Raid,1,Easy
Potatoman Seeks the Troof,1,Easy
The Reels: Welcome to Bangladesh,1,Easy
The Quivering,1,Easy
Saints Row 3: Moneyshot,3,Competitive/E-Sports
Saints Row 3: Steelport Gangs,3,Competitive/E-Sports
Saints Row 3: Genkibowl VII,3,Competitive/E-Sports
Saints Row 3: Gangstas In Space,3,Competitive/E-Sports
Point Perfect,1,Easy
Plague Inc The Cure,1,Easy
Plague Inc Evolved,1,Easy
Pixel Puzzles: Japan,1,Easy
Saints Row 3: Funtime!,3,Competitive/E-Sports
The Old Tree,1,Easy
Saints Row 3: Bloodsucker,3,Competitive/E-Sports
The Purring Quest,1,Easy
The Music Machine,3,Competitive/E-Sports
The Madness of Little Emma,1,Easy
The Next Penelope,1,Easy
Plants vs Zombies: Garden Warfare,2,AAA Medium Graphics
Roller Coaster Rampage,1,Easy
RODE,3,Competitive/E-Sports
Rocksmith: Metal Rock Pack,3,Competitive/E-Sports
Rocksmith - Venues - Time Saver Pack,3,Competitive/E-Sports
Rocksmith - Ultimate Time Saver Bundle,3,Competitive/E-Sports
Pirate Hell,1,Easy
Phantasy Star Online 2 New Genesis,3,Competitive/E-Sports
The Legend,3,Competitive/E-Sports
The Last Crown: Midnight Horror,1,Easy
The Mims Beginning,3,Competitive/E-Sports
The Jackbox Party Pack 2,1,Easy
The Incredible Adventures of Van Helsing: Final Cut,3,Competitive/E-Sports
The Incredible Adventures Of Van Helsing III,3,Competitive/E-Sports
The Hong Kong Massacre,3,Competitive/E-Sports
Rosh Online: The Return of Karos,1,Easy
Rocksmith - Tone Customization - Time Saver Pack,3,Competitive/E-Sports
Rocksmith - The Offspring 3-Song Pack,3,Competitive/E-Sports
Rocksmith - The Police 3-Song Pack,3,Competitive/E-Sports
Rocksmith - The Black Keys 3-Song Pack,3,Competitive/E-Sports
The Park,2,AAA Medium Graphics
Pineview Drive,3,Competitive/E-Sports
Rocksmith - Queen 5-Song Pack,3,Competitive/E-Sports
Rocksmith - Pantera 3-Song Pack,3,Competitive/E-Sports
Rocksmith - Nickelback - 3 Song Pack,3,Competitive/E-Sports
Rocksmith - My Chemical Romance 3-Song Pack,3,Competitive/E-Sports
Perpetuum,1,Easy
Payday 2: Hotline Miami,3,Competitive/E-Sports
Particulars,1,Easy
Paper Dungeons,1,Easy
The Guest,1,Easy
The Flame in the Flood,3,Competitive/E-Sports
The Extinction,3,Competitive/E-Sports
Path of Exile: Sacrifice of the Vaal,1,Easy
Rocksmith - Guitars and Basses - Time Saver Pack,3,Competitive/E-Sports
Rocksmith - Guitarcade - Time Saver Pack,3,Competitive/E-Sports
The Evil Within - The Executionor,2,AAA Medium Graphics
Rocksmith - Megadeth 3-Song Pack,3,Competitive/E-Sports
Party Animals,1,Easy
Rocksmith - Judas Priest 3-Song Pack,3,Competitive/E-Sports
Rocksmith - blink-182 - 3-Song Pack,3,Competitive/E-Sports
Rocksmith - Avenged Sevenfold 3-Song Pack,3,Competitive/E-Sports
The Isle,0,AAA High Graphics
The Fall of the Dungeon Guardians,3,Competitive/E-Sports
OVERTHRONED,1,Easy
Over The Void,1,Easy
Over 9000 Zombies,1,Easy
Orbital Gear,1,Easy
The Evil Within - The Consequence,2,AAA Medium Graphics
The Evil Within - The Assignment,2,AAA Medium Graphics
Rocksmith - 3 Doors Down - 3-Song Pack,3,Competitive/E-Sports
Our Darker Purpose,1,Easy
Outlast: Whistleblower,3,Competitive/E-Sports
River Simulator 2012,1,Easy
Only if,3,Competitive/E-Sports
Robotics;Notes Elite,3,Competitive/E-Sports
Risen 2: Treasure Isle,3,Competitive/E-Sports
